Max iter = 100, Tabu size = 10, Distancia -> 1.93503e+06
Max iter = 100, Tabu size = 50, Distancia -> 1.93503e+06
Max iter = 100, Tabu size = 100, Distancia -> 1.91917e+06
Max iter = 200, Tabu size = 10, Distancia -> 1.93503e+06
Max iter = 200, Tabu size = 50, Distancia -> 1.93503e+06
Max iter = 200, Tabu size = 100, Distancia -> 1.90298e+06
Max iter = 500, Tabu size = 10, Distancia -> 1.93503e+06
Max iter = 500, Tabu size = 50, Distancia -> 1.93503e+06
Max iter = 500, Tabu size = 100, Distancia -> 1.90298e+06
