Max iter = 100, Tabu size = 10, Distancia -> 51848.2
Max iter = 100, Tabu size = 50, Distancia -> 51848.2
Max iter = 100, Tabu size = 100, Distancia -> 51848.2
Max iter = 200, Tabu size = 10, Distancia -> 51848.2
Max iter = 200, Tabu size = 50, Distancia -> 51848.2
Max iter = 200, Tabu size = 100, Distancia -> 51848.2
Max iter = 500, Tabu size = 10, Distancia -> 51848.2
Max iter = 500, Tabu size = 50, Distancia -> 51848.2
Max iter = 500, Tabu size = 100, Distancia -> 51848.2
